aggregated_date,id,protocol_name,category,type,chain_name,total_quantity,total_value_usd
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,zkSync Era,5.360399999999999,15402.649499999996
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Velas,5.360399999999999,15402.649499999998
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Linea,5.360399999999999,15402.649499999996
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Polygon,5.360399999999999,15402.649499999992
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Arbitrum,5.360399999999999,15402.649500000003
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Avalanche,5.360399999999999,15402.649499999996
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Oasis,5.360399999999999,15402.649499999992
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Ethereum,5.360399999999999,15402.649499999996
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Cronos,5.360399999999999,15402.649499999998
2021-06-01,127,KyberSwap Classic,Dexes,Trading & Exchanges,Binance,5.360399999999999,15402.649499999992
2021-06-01,129,xDAI Stake Bridge,Chain,"Infrastructure, Services & Financial Products",Ethereum,6103.84056,19170435.032700006
2021-06-01,162,Bancor V2.1,Dexes,Trading & Exchanges,Ethereum,737134.02966,2107985863.6315203
2021-06-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum,31157.089860000004,90763802.88804
2021-06-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",staking,31157.089859999996,90763802.88804005
2021-06-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",Ethereum-staking,31157.08986,90763802.88804002
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Binance-pool2,1044.08436,2709095.5783199994
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Polygon,1044.08436,2709095.57832
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",pool2,1044.0843600000003,2709095.5783200003
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,1044.0843600000003,2709095.57832
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Binance,1044.0843600000003,2709095.578320001
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Ethereum,1044.08436,2709095.57832
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Binance-staking,1044.08436,2709095.5783199994
2021-06-01,181,MANTRA DAO,Lending,"Lending, Borrowing & Real World Assets",Polygon-pool2,1044.0843600000003,2709095.57832
