id,name,chain,category,type,github,twitter,oracles,project_count
2120,ApexSwap,Avalanche,Dexes,Trading & Exchanges,,ApexFoundation_,[],1
1822,MyTrade,Polygon,Dexes,Trading & Exchanges,[mytrade-dex],mytradeglobal,[],1
1430,Kommunitas,Polygon,Launchpad,"Infrastructure, Services & Financial Products",,Kommunitas1,[],1
1039,Mercurity,Ethereum,Dexes,Trading & Exchanges,,MercurityDefi,,1
3209,Pinnako,zkSync Era,Derivatives,Trading & Exchanges,[pinnakoex],PinnakoDex,[Pyth],1
2903,Swaprum,Arbitrum,Dexes,Trading & Exchanges,,Swaprum,[],1
1376,Sahara Exchange,Oasis,Dexes,Trading & Exchanges,,SaharaDex,[],1
1629,Humble Defi,Algorand,Dexes,Trading & Exchanges,,HumbleDefi,[Coingecko],1
712,Kaidex,Kardia,Dexes,Trading & Exchanges,,KardiaChain,,1
2937,Cells Finance,Binance,Yield Aggregator,Asset Management,,cellsfi,[],1
