date,type,totalLiquidityUSD
2018-12-26 00:00:00,"Infrastructure, Services & Financial Products",0.00019177763694
2018-12-26 00:00:00,Trading & Exchanges,0.00046771446378
2018-12-27 00:00:00,"Infrastructure, Services & Financial Products",0.00019262919072
2018-12-27 00:00:00,Trading & Exchanges,0.0004653276486
2018-12-28 00:00:00,"Infrastructure, Services & Financial Products",0.00019196205614000001
2018-12-28 00:00:00,Trading & Exchanges,0.00042400845215000003
2018-12-29 00:00:00,"Infrastructure, Services & Financial Products",0.00019078310899
2018-12-29 00:00:00,Trading & Exchanges,0.00045404511403
2018-12-30 00:00:00,"Infrastructure, Services & Financial Products",0.00018887132181
2018-12-30 00:00:00,Trading & Exchanges,0.00049360234872
2018-12-31 00:00:00,"Infrastructure, Services & Financial Products",0.00019298408507
2018-12-31 00:00:00,Trading & Exchanges,0.00048979916762
2019-01-01 00:00:00,"Infrastructure, Services & Financial Products",0.00019165325292
2019-01-01 00:00:00,Trading & Exchanges,0.00046931988661
2019-01-02 00:00:00,"Infrastructure, Services & Financial Products",0.00019272568635999999
2019-01-02 00:00:00,Trading & Exchanges,0.00048260384438
2019-01-03 00:00:00,"Infrastructure, Services & Financial Products",0.00019180361468
2019-01-03 00:00:00,Trading & Exchanges,0.00052565971053
2019-01-04 00:00:00,"Infrastructure, Services & Financial Products",0.00019157723999
2019-01-04 00:00:00,"Lending, Borrowing & Real World Assets",0.27384565127078003
2019-01-04 00:00:00,Trading & Exchanges,0.00052394454836
2019-01-05 00:00:00,"Infrastructure, Services & Financial Products",0.00019228174630999998
2019-01-05 00:00:00,"Lending, Borrowing & Real World Assets",0.28867454441292
2019-01-05 00:00:00,Trading & Exchanges,0.0005446516885600001
2019-01-06 00:00:00,"Infrastructure, Services & Financial Products",0.00019224020749
2019-01-06 00:00:00,"Lending, Borrowing & Real World Assets",0.29732125969301
2019-01-06 00:00:00,Trading & Exchanges,0.00059329035084
2019-01-07 00:00:00,"Infrastructure, Services & Financial Products",0.00019135247305
2019-01-07 00:00:00,"Lending, Borrowing & Real World Assets",0.28616822110373
2019-01-07 00:00:00,Trading & Exchanges,0.00060755050916
2019-01-08 00:00:00,"Infrastructure, Services & Financial Products",0.00019160117026
2019-01-08 00:00:00,"Lending, Borrowing & Real World Assets",0.28507368676345
2019-01-08 00:00:00,Trading & Exchanges,0.0005979132528500001
2019-01-09 00:00:00,"Infrastructure, Services & Financial Products",0.00019155034422
2019-01-09 00:00:00,"Lending, Borrowing & Real World Assets",0.27823316650162
2019-01-09 00:00:00,Trading & Exchanges,0.0006002493559599999
2019-01-10 00:00:00,"Infrastructure, Services & Financial Products",0.00019243408747999998
2019-01-10 00:00:00,"Lending, Borrowing & Real World Assets",0.10589845525487
2019-01-10 00:00:00,Trading & Exchanges,0.00063488989384
2019-01-11 00:00:00,"Infrastructure, Services & Financial Products",0.00019157961029
2019-01-11 00:00:00,"Lending, Borrowing & Real World Assets",0.24436089899318
2019-01-11 00:00:00,Trading & Exchanges,0.0005847218773999999
2019-01-12 00:00:00,"Infrastructure, Services & Financial Products",0.00019168685808999998
2019-01-12 00:00:00,"Lending, Borrowing & Real World Assets",0.27879163842318
2019-01-12 00:00:00,Trading & Exchanges,0.00056514557961
2019-01-13 00:00:00,"Infrastructure, Services & Financial Products",0.00019041130057
2019-01-13 00:00:00,"Lending, Borrowing & Real World Assets",0.24539194365895
2019-01-13 00:00:00,Trading & Exchanges,0.00055204678597
2019-01-14 00:00:00,"Infrastructure, Services & Financial Products",0.00019045211830999998
2019-01-14 00:00:00,"Lending, Borrowing & Real World Assets",0.17840710772428
2019-01-14 00:00:00,Trading & Exchanges,0.00057648210994
2019-01-15 00:00:00,"Infrastructure, Services & Financial Products",0.00019044963388999998
2019-01-15 00:00:00,"Lending, Borrowing & Real World Assets",0.24920620871011
2019-01-15 00:00:00,Trading & Exchanges,0.00065524192094
2019-01-16 00:00:00,"Infrastructure, Services & Financial Products",0.00019017374436
2019-01-16 00:00:00,"Lending, Borrowing & Real World Assets",0.25131902590516997
2019-01-16 00:00:00,Trading & Exchanges,0.00058994900011
